# L=200000, N=100000, PBC, precision=1000, alpha=2.0 
# l    S1    S1_OP    S_alpha    S_alpha_OP(1)    sigma2 H2 navge_alpha S_alpha_OP(3) S_alpha_OP(4) S_alpha_OP(5) 
164 2.426021455863002E+00 1.153112361405601E+00 1.851606574083656E+00 7.196330245825133E-01 7.467596138092434E-01 1.120706867295067E+00 8.199999999999999E+01 7.191731446583937E-01 7.191731446583937E-01 7.194053108867399E-01 
181 2.458898354235540E+00 1.179340750933855E+00 1.877591624000409E+00 7.377748986349953E-01 7.567546175436161E-01 1.129124781682754E+00 9.049999999999999E+01 7.373224609814241E-01 7.373224609814241E-01 7.375509523174670E-01 
200 2.492171792180699E+00 1.205975317406066E+00 1.901344130275406E+00 7.562241790198428E-01 7.668670488750388E-01 1.134048855118622E+00 9.999999999999999E+01 7.557765807185254E-01 7.557765807185254E-01 7.560025467793221E-01 
221 2.525453524744957E+00 1.232702812780610E+00 1.927393299503495E+00 7.747607442900770E-01 7.769845731980143E-01 1.142050333250313E+00 1.105000000000000E+02 7.743201233951183E-01 7.743201233951183E-01 7.745426261492099E-01 
245 2.559818604700180E+00 1.260389698180400E+00 1.953116295552030E+00 7.939880382089352E-01 7.874301567639632E-01 1.148605025047449E+00 1.225000000000000E+02 7.935534502519828E-01 7.935534502519828E-01 7.937728963638024E-01 
271 2.593438674968342E+00 1.287561578403514E+00 1.978286471573040E+00 8.128812421756045E-01 7.976493145043124E-01 1.154940964729451E+00 1.355000000000000E+02 8.124525027942370E-01 8.124525027942370E-01 8.126689860966198E-01 
299 2.626213414211894E+00 1.314129332700125E+00 2.002827937401668E+00 8.313761735566803E-01 8.076115462147331E-01 1.161046001732234E+00 1.495000000000000E+02 8.309530798100427E-01 8.309530798100427E-01 8.311667034625600E-01 
331 2.660104772829918E+00 1.341682285501037E+00 2.028209423687167E+00 8.505789365329689E-01 8.179132039863308E-01 1.167286109334507E+00 1.655000000000000E+02 8.501616184865185E-01 8.501616184865185E-01 8.503723169283765E-01 
365 2.692697468206290E+00 1.368254345145083E+00 2.052621720793039E+00 8.691185945498447E-01 8.278201324391523E-01 1.173218487909982E+00 1.825000000000000E+02 8.687067677760225E-01 8.687067677760225E-01 8.689146853311595E-01 
404 2.726536254876731E+00 1.395918197174996E+00 2.077405002988013E+00 8.884408697419143E-01 8.381055262340803E-01 1.178521199100691E+00 2.020000000000000E+02 8.880343742143553E-01 8.880343742143553E-01 8.882395678759366E-01 
447 2.760250344185800E+00 1.423554875934591E+00 2.103228846877037E+00 9.077642911553433E-01 8.483536473471827E-01 1.185305402970085E+00 2.235000000000000E+02 9.073636374649743E-01 9.073636374649743E-01 9.075658974661146E-01 
494 2.793575393905966E+00 1.450944538869652E+00 2.127735776813970E+00 9.269347504121485E-01 8.584830049686580E-01 1.190522357715574E+00 2.470000000000000E+02 9.265392927398258E-01 9.265392927398258E-01 9.267389043694648E-01 
545 2.826324772217020E+00 1.477928817281904E+00 2.152738637152347E+00 9.458396861222453E-01 8.684378014951946E-01 1.196863957287916E+00 2.724999999999999E+02 9.454496755870412E-01 9.454496755870412E-01 9.456465471284615E-01 
