# L=200, N=100, precision=54, alpha=2.0 
#      l                      S1                   S1_OP                 S_alpha           S_alpha_OP(1)                sigma2_n                 H_alpha             navge_alpha           S_alpha_OP(3)           S_alpha_OP(4)           S_alpha_OP(5)
      89      2.105604714599E+00      9.025855008607E-01      1.613813265499E+00      5.477558654618E-01      6.493721392345E-01      1.054973839803E+00      4.450000000000E+01      5.472413990383E-01      5.472413990383E-01      5.475013907650E-01
      90      2.106476262445E+00      9.032577674679E-01      1.610828651577E+00      5.482200897445E-01      6.496241946529E-01      1.050237923485E+00      4.500000000000E+01      5.476973618856E-01      5.476973618856E-01      5.479611584642E-01
      91      2.107263494410E+00      9.038561178182E-01      1.615048192347E+00      5.486200254244E-01      6.498762500713E-01      1.055345284323E+00      4.550000000000E+01      5.481058297230E-01      5.481058297230E-01      5.483656835211E-01
      92      2.107966807883E+00      9.043996008079E-01      1.611954558478E+00      5.489966372362E-01      6.500772927252E-01      1.050593223321E+00      4.600000000000E+01      5.484742172190E-01      5.484742172190E-01      5.487378594186E-01
      93      2.108586556306E+00      9.048697923130E-01      1.616033217232E+00      5.493094991823E-01      6.502783353792E-01      1.055641387014E+00      4.650000000000E+01      5.487955197225E-01      5.487955197225E-01      5.490552633539E-01
      94      2.109123049892E+00      9.052855083457E-01      1.612827919792E+00      5.495991818616E-01      6.504287686138E-01      1.050868642063E+00      4.700000000000E+01      5.490770005537E-01      5.490770005537E-01      5.493405230386E-01
      95      2.109576556250E+00      9.056284138038E-01      1.616770295234E+00      5.498255293925E-01      6.505792018484E-01      1.055862853924E+00      4.750000000000E+01      5.493117119176E-01      5.493117119176E-01      5.495713730268E-01
      96      2.109947300924E+00      9.059171351445E-01      1.613450500582E+00      5.500288052382E-01      6.506793253851E-01      1.051064876931E+00      4.800000000000E+01      5.495067940517E-01      5.495067940517E-01      5.497702312168E-01
      97      2.110235467843E+00      9.061333867579E-01      1.617260879276E+00      5.501690398847E-01      6.507794489217E-01      1.056010209454E+00      4.850000000000E+01      5.496553303060E-01      5.496553303060E-01      5.499149364495E-01
      98      2.110441199685E+00      9.062956472825E-01      1.613823551561E+00      5.502862741567E-01      6.508294612608E-01      1.051182421593E+00      4.900000000000E+01      5.497643648895E-01      5.497643648895E-01      5.500277509386E-01
      99      2.110564598161E+00      9.063856415325E-01      1.617505931661E+00      5.503406426954E-01      6.508794735998E-01      1.056083800784E+00      4.950000000000E+01      5.498269870367E-01      5.498269870367E-01      5.500865657120E-01
     100      2.110605724219E+00      9.064217408488E-01      1.613947819169E+00      5.503720463926E-01      6.508794735998E-01      1.051221570522E+00      5.000000000000E+01      5.498501710731E-01      5.498501710731E-01      5.501135400961E-01
