# logL =3000,NumOfEigs=16812,alpha=10.0, threshold = 10e-12 
# ================================================================
# n  P(n) P(n)^alpha  P(n)_alpha 
158 1.360772868475747E-48653 4.018764035045107E-486514 0.000000000000000E+00 
159 1.983889751155691E-48641 1.743457758865389E-486392 0.000000000000000E+00 
160 2.869133334238999E-48629 6.978199854234655E-486271 0.000000000000000E+00 
161 4.116250656864473E-48617 2.577829690008321E-486149 0.000000000000000E+00 
162 5.858509634904697E-48605 8.792402804236287E-486028 0.000000000000000E+00 
163 8.272235710226828E-48593 2.769906432505885E-485906 0.000000000000000E+00 
164 1.158844144305854E-48580 8.062809467208263E-485785 0.000000000000000E+00 
165 1.610680126173835E-48568 2.169347329990889E-485663 0.000000000000000E+00 
166 2.221218470322841E-48556 5.396955691824385E-485542 0.000000000000000E+00 
167 3.039389328813599E-48544 1.241936624479631E-485420 0.000000000000000E+00 
168 4.126764272457398E-48532 2.644433869091415E-485299 0.000000000000000E+00 
169 5.560018819814241E-48520 5.211931595702646E-485178 0.000000000000000E+00 
170 7.433630231019749E-48508 9.511426017440415E-485057 0.000000000000000E+00 
171 9.862758131031712E-48496 1.607755187788577E-484935 0.000000000000000E+00 
172 1.298622773914169E-48483 2.518060956939073E-484814 0.000000000000000E+00 
173 1.696950388673767E-48471 3.655338053478674E-484693 0.000000000000000E+00 
174 2.200750968544515E-48459 4.919773486796120E-484572 0.000000000000000E+00 
175 2.832710829596894E-48447 6.141274644867246E-484451 0.000000000000000E+00 
176 3.618903195100657E-48435 7.112229315272731E-484330 0.000000000000000E+00 
177 4.588901195917914E-48423 7.644043691056996E-484209 0.000000000000000E+00 
178 5.775784008194578E-48411 7.626855716342714E-484088 0.000000000000000E+00 
179 7.216007896801647E-48399 7.066528081443100E-483967 0.000000000000000E+00 
180 8.949114088198331E-48387 6.081861676697885E-483846 0.000000000000000E+00 
181 1.101724732200260E-48374 4.863703364839918E-483725 0.000000000000000E+00 
182 1.346446291855716E-48362 3.615150960169695E-483604 0.000000000000000E+00 
183 1.633580645291621E-48350 2.498284442502756E-483483 0.000000000000000E+00 
184 1.967615872035659E-48338 1.605607037619205E-483362 0.000000000000000E+00 
185 2.352884953101623E-48326 9.599376265478044E-483242 0.000000000000000E+00 
186 2.793405671125627E-48314 5.340429622395191E-483121 0.000000000000000E+00 
187 3.292702104477278E-48302 2.765416205432967E-483000 0.000000000000000E+00 
188 3.853612308347272E-48290 1.333264438225188E-482879 0.000000000000000E+00 
189 4.478088293874384E-48278 5.986357013210188E-482759 0.000000000000000E+00 
190 5.166995832310648E-48266 2.503901287932628E-482638 0.000000000000000E+00 
191 5.919922815471616E-48254 9.758802639058809E-482518 0.000000000000000E+00 
192 6.735005784954762E-48242 3.544996592082868E-482397 0.000000000000000E+00 
193 7.608784696321856E-48230 1.200574300859726E-482276 0.000000000000000E+00 
194 8.536095922153977E-48218 3.791656256660592E-482156 0.000000000000000E+00 
195 9.510012856261142E-48206 1.116984461306049E-482035 0.000000000000000E+00 
196 1.052184223028559E-48193 3.070110068571304E-481915 0.000000000000000E+00 
197 1.156118240294733E-48181 7.875146161343542E-481795 0.000000000000000E+00 
198 1.261604748391302E-48169 1.885685407184848E-481674 0.000000000000000E+00 
